word,window,lower_apply,average_apply,upper_apply,lower_get_set,average_get_set,upper_get_set
u16,1,5.0566,5.0582,5.0602,24.119,24.125,24.133
u16,2,5.4323,5.4361,5.4407,20.604,20.607,20.611
u16,3,6.5078,6.512,6.5189,24.858,24.87,24.885
u16,4,5.8888,5.8919,5.8958,15.769,15.776,15.785
u16,5,7.2983,7.302,7.3068,26.193,26.214,26.236
u16,6,7.3903,7.394,7.3986,23.797,23.807,23.821
u16,7,8.1623,8.1697,8.1781,28.918,28.93,28.946
u16,8,6.8012,6.8039,6.8067,11.344,11.348,11.353
u16,9,8.9522,8.9557,8.9603,29.781,29.797,29.815
u16,10,9.2571,9.2675,9.2846,24.597,24.607,24.621
u16,11,9.7644,9.7681,9.7727,27.769,27.789,27.814
u16,12,9.7113,9.7186,9.729,17.981,17.988,18.0
u16,13,10.489,10.5,10.512,27.343,27.356,27.375
u16,14,10.82,10.829,10.84,23.469,23.478,23.491
u16,15,11.29,11.299,11.312,26.471,26.478,26.487
u16,16,8.4722,8.4783,8.4871,8.8813,8.8852,8.8911
u32,1,4.612,4.6151,4.6188,16.575,16.731,16.884
u32,2,4.769,4.7745,4.7823,17.279,17.318,17.361
u32,3,5.4053,5.4068,5.4089,17.012,17.021,17.033
u32,4,4.9355,4.9375,4.9403,16.435,16.438,16.441
u32,5,5.6434,5.6467,5.6526,26.543,26.554,26.569
u32,6,5.7286,5.731,5.7344,23.256,23.265,23.278
u32,7,5.9037,5.9071,5.9111,29.147,29.156,29.167
u32,8,5.2912,5.2932,5.2961,12.61,12.613,12.615
u32,9,6.1018,6.1032,6.1048,28.181,28.189,28.2
u32,10,6.1843,6.187,6.1909,27.787,27.821,27.859
u32,11,6.2955,6.2977,6.3004,29.162,29.179,29.204
u32,12,6.2629,6.264,6.2653,23.932,23.941,23.951
u32,13,6.4197,6.4207,6.422,25.166,25.172,25.178
u32,14,6.5261,6.5289,6.5321,29.03,29.041,29.053
u32,15,6.6717,6.6791,6.6886,29.312,29.32,29.33
u32,16,5.8115,5.8156,5.8199,8.0882,8.0918,8.097
u32,17,7.0169,7.0208,7.0257,29.774,29.784,29.794
u32,18,7.1939,7.2005,7.2092,29.09,29.101,29.116
u32,19,7.3601,7.3669,7.3752,22.655,22.666,22.685
u32,20,7.508,7.5129,7.52,26.014,26.023,26.034
u32,21,7.6511,7.6529,7.6552,30.354,30.364,30.376
u32,22,7.7864,7.7886,7.7917,27.077,27.098,27.125
u32,23,7.926,7.9312,7.9385,28.968,28.991,29.025
u32,24,8.0641,8.0699,8.079,20.893,20.907,20.923
u32,25,8.2057,8.2108,8.2176,29.428,29.446,29.469
u32,26,8.3441,8.3485,8.3537,25.792,25.802,25.816
u32,27,8.4894,8.4983,8.5089,26.667,26.685,26.713
u32,28,8.6212,8.6291,8.6392,21.111,21.118,21.129
u32,29,8.7653,8.7699,8.7758,19.861,19.866,19.871
u32,30,8.9149,8.9179,8.9219,19.807,19.812,19.82
u32,31,9.0485,9.0521,9.057,16.759,16.764,16.772
u32,32,7.6731,7.675,7.6775,8.2134,8.2162,8.2199
u64,1,4.5608,4.5622,4.5642,13.691,13.712,13.737
u64,2,4.6227,4.624,4.6255,16.666,16.741,16.819
u64,3,5.2669,5.2692,5.2721,17.694,17.705,17.716
u64,4,4.7538,4.7562,4.7604,16.864,16.896,16.937
u64,5,5.3728,5.3757,5.3798,20.14,20.169,20.197
u64,6,5.4398,5.4442,5.4504,17.005,17.012,17.022
u64,7,5.4985,5.5005,5.5032,23.586,23.594,23.606
u64,8,4.8633,4.8654,4.8683,16.563,16.571,16.582
u64,9,5.6054,5.6071,5.6097,24.922,24.935,24.951
u64,10,5.6796,5.6813,5.6836,26.835,26.844,26.855
u64,11,5.7478,5.7501,5.7534,26.397,26.405,26.414
u64,12,5.7569,5.7582,5.7598,23.357,23.367,23.383
u64,13,5.8825,5.8864,5.8919,19.126,19.135,19.144
u64,14,5.8941,5.8985,5.9042,29.092,29.097,29.104
u64,15,5.9524,5.9576,5.9649,27.72,27.735,27.754
u64,16,5.2414,5.2441,5.2489,12.413,12.416,12.418
u64,17,6.0691,6.0736,6.0805,27.929,27.94,27.956
u64,18,6.1383,6.1418,6.1478,28.051,28.059,28.071
u64,19,6.174,6.1774,6.182,17.442,17.452,17.47
u64,20,6.1936,6.1976,6.2032,27.194,27.246,27.299
u64,21,6.2819,6.2866,6.2932,29.358,29.368,29.379
u64,22,6.3029,6.313,6.3253,28.807,28.814,28.824
u64,23,6.3663,6.3724,6.3802,30.805,30.818,30.831
u64,24,6.3577,6.3593,6.3614,23.951,23.959,23.969
u64,25,6.4493,6.4527,6.4574,26.76,26.765,26.771
u64,26,6.4599,6.4636,6.4688,24.971,24.982,24.997
u64,27,6.5476,6.5495,6.5519,31.142,31.152,31.166
u64,28,6.6261,6.6295,6.6341,29.84,29.876,29.914
u64,29,6.6814,6.6832,6.6855,31.202,31.218,31.238
u64,30,6.7456,6.7473,6.7494,29.849,29.872,29.902
u64,31,6.7801,6.7817,6.7836,29.652,29.665,29.682
u64,32,5.8844,5.8864,5.8891,8.2587,8.2612,8.2643
u64,33,6.9138,6.9173,6.9221,30.211,30.226,30.247
u64,34,6.9679,6.9721,6.9779,30.496,30.513,30.536
u64,35,7.0571,7.0594,7.0629,31.813,31.827,31.844
u64,36,7.1082,7.1122,7.1181,29.311,29.329,29.35
u64,37,7.1773,7.1798,7.1832,30.991,31.018,31.06
u64,38,7.2473,7.2498,7.2532,22.892,22.9,22.909
u64,39,7.2953,7.2972,7.2993,28.151,28.17,28.198
u64,40,7.3574,7.3604,7.3641,26.715,26.731,26.754
u64,41,7.3942,7.3964,7.399,31.763,31.77,31.778
u64,42,7.4549,7.4573,7.4604,32.965,32.976,32.99
u64,43,7.4687,7.4724,7.4776,32.692,32.7,32.709
u64,44,7.4813,7.4841,7.4877,27.748,27.753,27.759
u64,45,7.6337,7.6364,7.6402,21.503,21.509,21.517
u64,46,7.6986,7.7043,7.7121,29.177,29.183,29.19
u64,47,7.7721,7.7789,7.7895,28.994,29.004,29.018
u64,48,7.8622,7.8651,7.8689,18.461,18.468,18.478
u64,49,7.9068,7.9109,7.9158,27.898,27.916,27.942
u64,50,8.0036,8.0061,8.0098,29.963,29.975,29.992
u64,51,8.0685,8.0707,8.0733,18.989,19.002,19.019
u64,52,8.1573,8.1598,8.1634,25.548,25.564,25.585
u64,53,8.1935,8.1956,8.1985,28.509,28.521,28.539
u64,54,8.2414,8.243,8.2449,26.975,26.992,27.014
u64,55,8.3011,8.3031,8.3052,26.069,26.092,26.125
u64,56,8.4058,8.409,8.4131,21.619,21.633,21.65
u64,57,8.4947,8.5004,8.5081,23.214,23.224,23.237
u64,58,8.5294,8.5326,8.5366,19.781,19.786,19.792
u64,59,8.6236,8.6253,8.6273,22.06,22.066,22.072
u64,60,8.6934,8.6991,8.7062,19.732,19.751,19.775
u64,61,8.757,8.76,8.7638,18.532,18.542,18.555
u64,62,8.8293,8.8335,8.8404,16.663,16.669,16.675
u64,63,9.6174,9.6212,9.6259,15.869,15.874,15.882
u64,64,7.6047,7.6061,7.6077,8.5998,8.6028,8.6077
u8,1,5.1796,5.1824,5.1863,21.865,21.873,21.883
u8,2,5.7478,5.7515,5.7552,17.064,17.074,17.087
u8,3,6.9194,6.9226,6.9276,24.33,24.342,24.357
u8,4,6.7923,6.7945,6.7974,12.611,12.616,12.623
u8,5,8.7428,8.749,8.757,25.014,25.027,25.044
u8,6,9.2977,9.3061,9.3178,19.776,19.782,19.791
u8,7,10.527,10.533,10.54,24.837,24.842,24.848
u8,8,8.6884,8.6922,8.6976,9.711,9.7178,9.7266
